Regione-Provincia_Autonoma;Popolazione;M;F;Celiaci;Prevalenza%;Celiaci_M;Celiaci_F;PrevalenzaM%;PrevalenzaF%
Abruzzo;1273660;622149;651511;5772;0,45;1668;4104;0,27;0,63
Basilicata;539999;265503;274496;1809;0,34;505;1304;0,19;0,48
Calabria;1844586;899638;944948;6562;0,36;1856;4706;0,21;0,5
Campania;5590681;2722216;2868465;23431;0,42;7533;15898;0,28;0,55
Emilia Romagna;4431816;2164213;2267603;19659;0,44;6172;13487;0,29;0,59
Friuli Venezia Giulia;1197295;584025;613270;4142;0,35;1207;2935;0,21;0,48
Lazio;5715190;2760867;2954323;24600;0,43;7214;17386;0,26;0,59
Liguria;1507438;723763;783675;5988;0,4;2064;3924;0,29;0,5
Lombardia;9965046;4887548;5077498;43919;0,44;13535;30384;0,28;0,6
Marche;1489789;725836;763953;5016;0,34;1546;3470;0,21;0,45
Molise;290769;143016;147753;1067;0,37;289;778;0,2;0,53
Bolzano;535774;265854;269920;2064;0,39;622;1442;0,23;0,53
Trento;542158;266932;275226;2768;0,51;905;1863;0,34;0,68
Piemonte;4252279;2068986;2183293;15470;0,36;4393;11077;0,21;0,51
Puglia;3912166;1902945;2009221;14551;0,37;4369;10182;0,23;0,51
Sardegna;1579181;772146;807035;7372;0,47;2075;5297;0,27;0,66
Sicilia;4801468;2330964;2470504;17971;0,37;5627;12344;0,24;0,5
Toscana;3676285;1780969;1895316;18721;0,51;5452;13269;0,31;0,7
Umbria;859572;414888;444684;3996;0,46;1208;2788;0,29;0,63
Valle D'Aosta;123337;60402;62935;636;0,52;202;434;0,33;0,69
Veneto;4854633;2384557;2470076;16215;0,33;4902;11313;0,21;0,46
Totale;58983122;28747417;30235705;241729;0,41;73344;168385;0,26;0,56