Regione-Provincia_Autonoma;Totale;Celiaci_M;Celiaci_F;Rapporto F:M
Abruzzo;5772;1668;4104;2
Basilicata;1809;505;1304;3
Calabria;6562;1856;4706;3
Campania;23431;7533;15898;2
Emilia Romagna;19659;6172;13487;2
Friuli Venezia Giulia;4142;1207;2935;2
Lazio;24600;7214;17386;2
Liguria;5988;2064;3924;2
Lombardia;43919;13535;30384;2
Marche;5016;1546;3470;2
Molise;1067;289;778;3
Bolzano;2064;622;1442;2
Trento;2768;905;1863;2
Piemonte;15470;4393;11077;3
Puglia;14551;4369;10182;2
Sardegna;7372;2075;5297;3
Sicilia;17971;5627;12344;2
Toscana;18721;5452;13269;2
Umbria;3996;1208;2788;2
Valle D'Aosta;636;202;434;2
Veneto;16215;4902;11313;2
Totale;241729;73344;168385;2