Regione-Provincia_Autonoma;Saldo annuale 2019;Saldo annuale 2020;Saldo annuale 2021;Saldo annuale 2022;Media del saldo annuale
Abruzzo;295;272;245;-17;199
Basilicata;275;40;99;432;212
Calabria;53;-316;140;222;25
Campania;1585;222;889;964;915
Emilia Romagna;240;568;852;1117;694
Friuli Venezia Giulia;24;170;20;496;178
Lazio;1137;1476;967;751;1083
Liguria;233;210;229;186;215
Lombardia;1897;2123;1479;2514;2003
Marche;-147;220;227;119;105
Molise;25;18;25;54;31
Bolzano;137;107;132;155;133
Trento;113;103;125;150;123
Piemonte;-139;592;0;1681;534
Puglia;743;335;620;482;545
Sardegna;90;210;-221;-322;-61
Sicilia;3238;-178;889;-288;915
Toscana;493;755;789;878;729
Umbria;90;114;175;179;140
Valle D'Aosta;25;22;31;23;25
Veneto;772;666;870;434;686
Totale;11179;7729;8582;10210;9425